House,Resident,Day,Hour,Activity,ActivityMinutes
B,1,8,17,7,0
B,1,8,17,8,4
B,1,8,17,9,0
B,1,8,17,10,0
B,1,8,18,1,0
B,1,8,18,2,0
B,1,8,18,3,0
B,1,8,18,4,0
B,1,8,18,5,53
B,1,8,18,6,3
B,1,8,18,7,4
B,1,8,18,8,0
B,1,8,18,9,0
B,1,8,18,10,0
B,1,8,19,1,0
B,1,8,19,2,0
B,1,8,19,3,0
B,1,8,19,4,56
B,1,8,19,5,0
B,1,8,19,6,3
B,1,8,19,7,0
B,1,8,19,8,0
B,1,8,19,9,0
B,1,8,19,10,1
B,1,8,20,1,0
B,1,8,20,2,0
B,1,8,20,3,0
B,1,8,20,4,60
B,1,8,20,5,0
B,1,8,20,6,0
B,1,8,20,7,0
B,1,8,20,8,0
B,1,8,20,9,0
B,1,8,20,10,0
B,1,8,21,1,0
B,1,8,21,2,0
B,1,8,21,3,0
B,1,8,21,4,21
B,1,8,21,5,39
B,1,8,21,6,0
B,1,8,21,7,0
B,1,8,21,8,0
B,1,8,21,9,0
B,1,8,21,10,0
B,1,8,22,1,0
B,1,8,22,2,0
B,1,8,22,3,0
B,1,8,22,4,41
B,1,8,22,5,11
B,1,8,22,6,8
B,1,8,22,7,0
B,1,8,22,8,0
B,1,8,22,9,0
B,1,8,22,10,0
B,1,8,23,1,0
B,1,8,23,2,0
B,1,8,23,3,0
B,1,8,23,4,59
B,1,8,23,5,0
B,1,8,23,6,0
B,1,8,23,7,0
B,1,8,23,8,0
B,1,8,23,9,0
B,1,8,23,10,0
B,2,8,0,1,60
B,2,8,0,2,0
B,2,8,0,3,0
B,2,8,0,4,0
B,2,8,0,5,0
B,2,8,0,6,0
B,2,8,0,7,0
B,2,8,0,8,0
B,2,8,0,9,0
B,2,8,0,10,0
B,2,8,1,1,60
B,2,8,1,2,0
B,2,8,1,3,0
B,2,8,1,4,0
B,2,8,1,5,0
B,2,8,1,6,0
B,2,8,1,7,0
B,2,8,1,8,0
B,2,8,1,9,0
B,2,8,1,10,0
B,2,8,2,1,60
B,2,8,2,2,0
B,2,8,2,3,0
B,2,8,2,4,0
B,2,8,2,5,0
B,2,8,2,6,0
B,2,8,2,7,0
B,2,8,2,8,0
B,2,8,2,9,0
B,2,8,2,10,0
B,2,8,3,1,60
B,2,8,3,2,0
B,2,8,3,3,0
B,2,8,3,4,0
B,2,8,3,5,0
B,2,8,3,6,0
B,2,8,3,7,0
B,2,8,3,8,0
B,2,8,3,9,0
B,2,8,3,10,0
B,2,8,4,1,60
B,2,8,4,2,0
B,2,8,4,3,0
B,2,8,4,4,0
B,2,8,4,5,0
B,2,8,4,6,0
B,2,8,4,7,0
B,2,8,4,8,0
B,2,8,4,9,0
B,2,8,4,10,0
B,2,8,5,1,60
B,2,8,5,2,0
B,2,8,5,3,0
B,2,8,5,4,0
B,2,8,5,5,0
B,2,8,5,6,0
B,2,8,5,7,0
B,2,8,5,8,0
B,2,8,5,9,0
B,2,8,5,10,0
B,2,8,6,1,60
B,2,8,6,2,0
B,2,8,6,3,0
B,2,8,6,4,0
B,2,8,6,5,0
B,2,8,6,6,0
B,2,8,6,7,0
B,2,8,6,8,0
B,2,8,6,9,0
B,2,8,6,10,0
B,2,8,7,1,60
B,2,8,7,2,0
B,2,8,7,3,0
B,2,8,7,4,0
B,2,8,7,5,0
B,2,8,7,6,0
B,2,8,7,7,0
B,2,8,7,8,0
B,2,8,7,9,0
B,2,8,7,10,0
B,2,8,8,1,60
B,2,8,8,2,0
B,2,8,8,3,0
B,2,8,8,4,0
B,2,8,8,5,0
B,2,8,8,6,0
B,2,8,8,7,0
B,2,8,8,8,0
B,2,8,8,9,0
B,2,8,8,10,0
B,2,8,9,1,60
B,2,8,9,2,0
B,2,8,9,3,0
B,2,8,9,4,0
B,2,8,9,5,0
B,2,8,9,6,0
B,2,8,9,7,0
B,2,8,9,8,0
B,2,8,9,9,0
B,2,8,9,10,0
B,2,8,10,1,60
B,2,8,10,2,0
B,2,8,10,3,0
B,2,8,10,4,0
B,2,8,10,5,0
B,2,8,10,6,0
B,2,8,10,7,0
B,2,8,10,8,0
B,2,8,10,9,0
B,2,8,10,10,0
B,2,8,11,1,60
B,2,8,11,2,0
B,2,8,11,3,0
B,2,8,11,4,0
B,2,8,11,5,0
B,2,8,11,6,0
B,2,8,11,7,0
B,2,8,11,8,0
B,2,8,11,9,0
B,2,8,11,10,0
B,2,8,12,1,60
B,2,8,12,2,0
B,2,8,12,3,0
B,2,8,12,4,0
B,2,8,12,5,0
B,2,8,12,6,0
B,2,8,12,7,0
B,2,8,12,8,0
B,2,8,12,9,0
B,2,8,12,10,0
B,2,8,13,1,60
B,2,8,13,2,0
B,2,8,13,3,0
B,2,8,13,4,0
B,2,8,13,5,0
B,2,8,13,6,0
B,2,8,13,7,0
B,2,8,13,8,0
B,2,8,13,9,0
B,2,8,13,10,0
B,2,8,14,1,60
B,2,8,14,2,0
B,2,8,14,3,0
B,2,8,14,4,0
B,2,8,14,5,0
B,2,8,14,6,0
B,2,8,14,7,0
B,2,8,14,8,0
B,2,8,14,9,0
B,2,8,14,10,0
B,2,8,15,1,60
B,2,8,15,2,0
B,2,8,15,3,0
B,2,8,15,4,0
B,2,8,15,5,0
B,2,8,15,6,0
B,2,8,15,7,0
B,2,8,15,8,0
B,2,8,15,9,0
B,2,8,15,10,0
B,2,8,16,1,60
B,2,8,16,2,0
B,2,8,16,3,0
B,2,8,16,4,0
B,2,8,16,5,0
B,2,8,16,6,0
B,2,8,16,7,0
B,2,8,16,8,0
B,2,8,16,9,0
B,2,8,16,10,0
B,2,8,17,1,60
B,2,8,17,2,0
B,2,8,17,3,0
B,2,8,17,4,0
B,2,8,17,5,0
B,2,8,17,6,0
B,2,8,17,7,0
B,2,8,17,8,0
B,2,8,17,9,0
B,2,8,17,10,0
B,2,8,18,1,60
B,2,8,18,2,0
B,2,8,18,3,0
B,2,8,18,4,0
B,2,8,18,5,0
B,2,8,18,6,0
B,2,8,18,7,0
B,2,8,18,8,0
B,2,8,18,9,0
B,2,8,18,10,0
B,2,8,19,1,60
B,2,8,19,2,0
B,2,8,19,3,0
B,2,8,19,4,0
B,2,8,19,5,0
B,2,8,19,6,0
B,2,8,19,7,0
B,2,8,19,8,0
B,2,8,19,9,0
B,2,8,19,10,0
B,2,8,20,1,60
B,2,8,20,2,0
B,2,8,20,3,0
B,2,8,20,4,0
B,2,8,20,5,0
B,2,8,20,6,0
B,2,8,20,7,0
B,2,8,20,8,0
B,2,8,20,9,0
B,2,8,20,10,0
B,2,8,21,1,60
B,2,8,21,2,0
B,2,8,21,3,0
B,2,8,21,4,0
B,2,8,21,5,0
B,2,8,21,6,0
B,2,8,21,7,0
B,2,8,21,8,0
B,2,8,21,9,0
B,2,8,21,10,0
B,2,8,22,1,45
B,2,8,22,2,0
B,2,8,22,3,0
B,2,8,22,4,11
B,2,8,22,5,0
B,2,8,22,6,1
B,2,8,22,7,0
B,2,8,22,8,1
B,2,8,22,9,0
B,2,8,22,10,2
B,2,8,23,1,0
B,2,8,23,2,0
B,2,8,23,3,0
B,2,8,23,4,59
B,2,8,23,5,0
B,2,8,23,6,0
B,2,8,23,7,0
B,2,8,23,8,0
B,2,8,23,9,0
B,2,8,23,10,0
A,1,9,0,1,0
A,1,9,0,2,0
A,1,9,0,3,18
A,1,9,0,4,15
A,1,9,0,5,26
A,1,9,0,6,0
A,1,9,0,7,0
A,1,9,0,8,0
A,1,9,0,9,1
A,1,9,0,10,0
A,1,9,1,1,0
A,1,9,1,2,0
A,1,9,1,3,25
A,1,9,1,4,7
A,1,9,1,5,0
A,1,9,1,6,4
A,1,9,1,7,0
A,1,9,1,8,0
A,1,9,1,9,16
A,1,9,1,10,8
A,1,9,2,1,0
A,1,9,2,2,34
A,1,9,2,3,2
A,1,9,2,4,1
A,1,9,2,5,0
A,1,9,2,6,2
A,1,9,2,7,0
A,1,9,2,8,0
A,1,9,2,9,11
A,1,9,2,10,10
A,1,9,3,1,0
A,1,9,3,2,60
A,1,9,3,3,0
A,1,9,3,4,0
A,1,9,3,5,0
A,1,9,3,6,0
A,1,9,3,7,0
A,1,9,3,8,0
A,1,9,3,9,0
A,1,9,3,10,0
A,1,9,4,1,0
A,1,9,4,2,60
A,1,9,4,3,0
A,1,9,4,4,0
A,1,9,4,5,0
A,1,9,4,6,0
A,1,9,4,7,0
A,1,9,4,8,0
A,1,9,4,9,0
A,1,9,4,10,0
A,1,9,5,1,0
A,1,9,5,2,60
A,1,9,5,3,0
A,1,9,5,4,0
A,1,9,5,5,0
A,1,9,5,6,0
A,1,9,5,7,0
A,1,9,5,8,0
A,1,9,5,9,0
A,1,9,5,10,0
A,1,9,6,1,0
A,1,9,6,2,60
A,1,9,6,3,0
A,1,9,6,4,0
A,1,9,6,5,0
A,1,9,6,6,0
A,1,9,6,7,0
A,1,9,6,8,0
A,1,9,6,9,0
A,1,9,6,10,0
A,1,9,7,1,0
A,1,9,7,2,60
A,1,9,7,3,0
A,1,9,7,4,0
A,1,9,7,5,0
A,1,9,7,6,0
A,1,9,7,7,0
A,1,9,7,8,0
A,1,9,7,9,0
A,1,9,7,10,0
A,1,9,8,1,0
A,1,9,8,2,60
A,1,9,8,3,0
A,1,9,8,4,0
A,1,9,8,5,0
A,1,9,8,6,0
A,1,9,8,7,0
A,1,9,8,8,0
A,1,9,8,9,0
A,1,9,8,10,0
A,1,9,9,1,0
A,1,9,9,2,60
A,1,9,9,3,0
A,1,9,9,4,0
A,1,9,9,5,0
A,1,9,9,6,0
A,1,9,9,7,0
A,1,9,9,8,0
A,1,9,9,9,0
A,1,9,9,10,0
A,1,9,10,1,0
A,1,9,10,2,18
A,1,9,10,3,0
A,1,9,10,4,24
A,1,9,10,5,0
A,1,9,10,6,12
A,1,9,10,7,1
A,1,9,10,8,0
A,1,9,10,9,0
A,1,9,10,10,5
A,1,9,11,1,0
A,1,9,11,2,0
A,1,9,11,3,0
A,1,9,11,4,0
A,1,9,11,5,0
A,1,9,11,6,0
A,1,9,11,7,55
A,1,9,11,8,5
A,1,9,11,9,0
A,1,9,11,10,0
A,1,9,12,1,0
A,1,9,12,2,0
A,1,9,12,3,36
A,1,9,12,4,23
A,1,9,12,5,0
A,1,9,12,6,0
A,1,9,12,7,0
A,1,9,12,8,1
A,1,9,12,9,0
A,1,9,12,10,0
A,1,9,13,1,0
A,1,9,13,2,0
A,1,9,13,3,8
A,1,9,13,4,32
A,1,9,13,5,0
A,1,9,13,6,20
A,1,9,13,7,0
A,1,9,13,8,0
A,1,9,13,9,0
A,1,9,13,10,0
A,1,9,14,1,0
A,1,9,14,2,0
A,1,9,14,3,5
A,1,9,14,4,21
A,1,9,14,5,0
A,1,9,14,6,25
A,1,9,14,7,0
A,1,9,14,8,0
A,1,9,14,9,6
A,1,9,14,10,3
A,1,9,15,1,0
A,1,9,15,2,0
A,1,9,15,3,54
A,1,9,15,4,0
A,1,9,15,5,0
A,1,9,15,6,0
A,1,9,15,7,6
A,1,9,15,8,0
A,1,9,15,9,0
A,1,9,15,10,0
A,1,9,16,1,0
A,1,9,16,2,0
A,1,9,16,3,14
A,1,9,16,4,0
A,1,9,16,5,15
A,1,9,16,6,0
A,1,9,16,7,16
A,1,9,16,8,9
A,1,9,16,9,0
A,1,9,16,10,6
A,1,9,17,1,0
A,1,9,17,2,0
A,1,9,17,3,0
A,1,9,17,4,5
A,1,9,17,5,55
A,1,9,17,6,0
A,1,9,17,7,0
A,1,9,17,8,0
A,1,9,17,9,0
A,1,9,17,10,0
A,1,9,18,1,0
A,1,9,18,2,0
A,1,9,18,3,4
A,1,9,18,4,12
A,1,9,18,5,0
A,1,9,18,6,0
A,1,9,18,7,0
A,1,9,18,8,0
A,1,9,18,9,3
A,1,9,18,10,41
A,1,9,19,1,0
A,1,9,19,2,0
A,1,9,19,3,42
A,1,9,19,4,0
A,1,9,19,5,8
A,1,9,19,6,0
A,1,9,19,7,10
A,1,9,19,8,0
A,1,9,19,9,0
A,1,9,19,10,0
A,1,9,20,1,0
A,1,9,20,2,0
A,1,9,20,3,12
A,1,9,20,4,0
A,1,9,20,5,0
A,1,9,20,6,0
A,1,9,20,7,48
A,1,9,20,8,0
A,1,9,20,9,0
A,1,9,20,10,0
A,1,9,21,1,0
A,1,9,21,2,0
A,1,9,21,3,0
A,1,9,21,4,38
A,1,9,21,5,16
A,1,9,21,6,0
A,1,9,21,7,1
A,1,9,21,8,5
A,1,9,21,9,0
A,1,9,21,10,0
A,1,9,22,1,0
A,1,9,22,2,0
A,1,9,22,3,0
A,1,9,22,4,0
A,1,9,22,5,58
A,1,9,22,6,0
A,1,9,22,7,0
A,1,9,22,8,0
A,1,9,22,9,0
A,1,9,22,10,2
A,1,9,23,1,0
A,1,9,23,2,0
A,1,9,23,3,0
A,1,9,23,4,0
A,1,9,23,5,41
A,1,9,23,6,0
A,1,9,23,7,0
A,1,9,23,8,0
A,1,9,23,9,15
A,1,9,23,10,3
A,2,9,0,1,0
A,2,9,0,2,0
A,2,9,0,3,0
A,2,9,0,4,40
A,2,9,0,5,0
A,2,9,0,6,0
A,2,9,0,7,0
A,2,9,0,8,0
A,2,9,0,9,20
A,2,9,0,10,0
A,2,9,1,1,0
A,2,9,1,2,0
A,2,9,1,3,0
A,2,9,1,4,0
A,2,9,1,5,0
A,2,9,1,6,0
A,2,9,1,7,0
A,2,9,1,8,0
A,2,9,1,9,52
A,2,9,1,10,8
A,2,9,2,1,0
A,2,9,2,2,0
A,2,9,2,3,0
A,2,9,2,4,0
A,2,9,2,5,0
A,2,9,2,6,0
A,2,9,2,7,24
A,2,9,2,8,5
A,2,9,2,9,11
A,2,9,2,10,20
A,2,9,3,1,0
A,2,9,3,2,55
A,2,9,3,3,0
A,2,9,3,4,0
A,2,9,3,5,0
A,2,9,3,6,0
A,2,9,3,7,5
A,2,9,3,8,0
A,2,9,3,9,0
A,2,9,3,10,0
A,2,9,4,1,0
A,2,9,4,2,60
A,2,9,4,3,0
A,2,9,4,4,0
A,2,9,4,5,0
A,2,9,4,6,0
A,2,9,4,7,0
A,2,9,4,8,0
A,2,9,4,9,0
A,2,9,4,10,0
A,2,9,5,1,0
A,2,9,5,2,60
A,2,9,5,3,0
A,2,9,5,4,0
A,2,9,5,5,0
A,2,9,5,6,0
A,2,9,5,7,0
A,2,9,5,8,0
A,2,9,5,9,0
A,2,9,5,10,0
A,2,9,6,1,0
A,2,9,6,2,60
A,2,9,6,3,0
A,2,9,6,4,0
A,2,9,6,5,0
A,2,9,6,6,0
A,2,9,6,7,0
A,2,9,6,8,0
A,2,9,6,9,0
A,2,9,6,10,0
A,2,9,7,1,0
A,2,9,7,2,60
A,2,9,7,3,0
A,2,9,7,4,0
A,2,9,7,5,0
A,2,9,7,6,0
A,2,9,7,7,0
A,2,9,7,8,0
A,2,9,7,9,0
A,2,9,7,10,0
A,2,9,8,1,20
A,2,9,8,2,15
A,2,9,8,3,0
A,2,9,8,4,0
A,2,9,8,5,0
A,2,9,8,6,2
A,2,9,8,7,0
A,2,9,8,8,5
A,2,9,8,9,0
A,2,9,8,10,18
A,2,9,9,1,60
A,2,9,9,2,0
A,2,9,9,3,0
A,2,9,9,4,0
A,2,9,9,5,0
A,2,9,9,6,0
A,2,9,9,7,0
A,2,9,9,8,0
A,2,9,9,9,0
A,2,9,9,10,0
A,2,9,10,1,60
A,2,9,10,2,0
A,2,9,10,3,0
A,2,9,10,4,0
A,2,9,10,5,0
A,2,9,10,6,0
A,2,9,10,7,0
A,2,9,10,8,0
A,2,9,10,9,0
A,2,9,10,10,0
A,2,9,11,1,60
A,2,9,11,2,0
A,2,9,11,3,0
A,2,9,11,4,0
A,2,9,11,5,0
A,2,9,11,6,0
A,2,9,11,7,0
A,2,9,11,8,0
A,2,9,11,9,0
A,2,9,11,10,0
A,2,9,12,1,60
A,2,9,12,2,0
A,2,9,12,3,0
A,2,9,12,4,0
A,2,9,12,5,0
A,2,9,12,6,0
A,2,9,12,7,0
A,2,9,12,8,0
A,2,9,12,9,0
A,2,9,12,10,0
A,2,9,13,1,27
A,2,9,13,2,0
A,2,9,13,3,5
A,2,9,13,4,0
A,2,9,13,5,0
A,2,9,13,6,0
A,2,9,13,7,0
A,2,9,13,8,1
A,2,9,13,9,27
A,2,9,13,10,0
A,2,9,14,1,0
A,2,9,14,2,0
A,2,9,14,3,39
A,2,9,14,4,5
A,2,9,14,5,0
A,2,9,14,6,0
A,2,9,14,7,0
A,2,9,14,8,0
A,2,9,14,9,16
A,2,9,14,10,0
A,2,9,15,1,0
A,2,9,15,2,0
A,2,9,15,3,2
A,2,9,15,4,32
A,2,9,15,5,0
A,2,9,15,6,0
A,2,9,15,7,0
A,2,9,15,8,0
A,2,9,15,9,26
A,2,9,15,10,0
A,2,9,16,1,0
A,2,9,16,2,0
A,2,9,16,3,41
A,2,9,16,4,14
A,2,9,16,5,0
A,2,9,16,6,0
A,2,9,16,7,0
A,2,9,16,8,0
A,2,9,16,9,5
A,2,9,16,10,0
A,2,9,17,1,0
A,2,9,17,2,0
A,2,9,17,3,0
A,2,9,17,4,12
A,2,9,17,5,0
A,2,9,17,6,0
A,2,9,17,7,0
A,2,9,17,8,0
A,2,9,17,9,48
A,2,9,17,10,0
A,2,9,18,1,0
A,2,9,18,2,0
A,2,9,18,3,0
A,2,9,18,4,37
A,2,9,18,5,0
A,2,9,18,6,9
A,2,9,18,7,0
A,2,9,18,8,0
A,2,9,18,9,14
A,2,9,18,10,0
A,2,9,19,1,0
A,2,9,19,2,0
A,2,9,19,3,0
A,2,9,19,4,52
A,2,9,19,5,0
A,2,9,19,6,0
A,2,9,19,7,8
A,2,9,19,8,0
A,2,9,19,9,0
A,2,9,19,10,0
A,2,9,20,1,0
A,2,9,20,2,0
A,2,9,20,3,0
A,2,9,20,4,0
A,2,9,20,5,0
A,2,9,20,6,0
A,2,9,20,7,60
A,2,9,20,8,0
A,2,9,20,9,0
A,2,9,20,10,0
A,2,9,21,1,0
A,2,9,21,2,0
A,2,9,21,3,0
A,2,9,21,4,12
A,2,9,21,5,0
A,2,9,21,6,3
A,2,9,21,7,1
A,2,9,21,8,4
A,2,9,21,9,38
A,2,9,21,10,2
A,2,9,22,1,0
A,2,9,22,2,0
A,2,9,22,3,41
A,2,9,22,4,19
A,2,9,22,5,0
A,2,9,22,6,0
A,2,9,22,7,0
A,2,9,22,8,0
A,2,9,22,9,0
A,2,9,22,10,0
A,2,9,23,1,0
A,2,9,23,2,0
A,2,9,23,3,18
A,2,9,23,4,1
A,2,9,23,5,0
A,2,9,23,6,0
A,2,9,23,7,8
A,2,9,23,8,0
A,2,9,23,9,10
A,2,9,23,10,22
B,1,9,0,1,0
B,1,9,0,2,34
B,1,9,0,3,0
B,1,9,0,4,24
B,1,9,0,5,0
B,1,9,0,6,0
B,1,9,0,7,0
B,1,9,0,8,0
B,1,9,0,9,0
B,1,9,0,10,2
B,1,9,1,1,0
B,1,9,1,2,60
B,1,9,1,3,0
B,1,9,1,4,0
B,1,9,1,5,0
B,1,9,1,6,0
B,1,9,1,7,0
B,1,9,1,8,0
B,1,9,1,9,0
B,1,9,1,10,0
B,1,9,2,1,0
B,1,9,2,2,60
B,1,9,2,3,0
B,1,9,2,4,0
B,1,9,2,5,0
B,1,9,2,6,0
B,1,9,2,7,0
B,1,9,2,8,0
B,1,9,2,9,0
B,1,9,2,10,0
B,1,9,3,1,0
B,1,9,3,2,60
B,1,9,3,3,0
B,1,9,3,4,0
B,1,9,3,5,0
B,1,9,3,6,0
B,1,9,3,7,0
B,1,9,3,8,0
B,1,9,3,9,0
B,1,9,3,10,0
B,1,9,4,1,0
B,1,9,4,2,60
B,1,9,4,3,0
B,1,9,4,4,0
B,1,9,4,5,0
B,1,9,4,6,0
B,1,9,4,7,0
B,1,9,4,8,0
B,1,9,4,9,0
B,1,9,4,10,0
B,1,9,5,1,0
B,1,9,5,2,60
B,1,9,5,3,0
B,1,9,5,4,0
B,1,9,5,5,0
B,1,9,5,6,0
B,1,9,5,7,0
B,1,9,5,8,0
B,1,9,5,9,0
B,1,9,5,10,0
B,1,9,6,1,0
B,1,9,6,2,60
B,1,9,6,3,0
B,1,9,6,4,0
B,1,9,6,5,0
B,1,9,6,6,0
B,1,9,6,7,0
B,1,9,6,8,0
B,1,9,6,9,0
B,1,9,6,10,0
B,1,9,7,1,0
B,1,9,7,2,60
B,1,9,7,3,0
B,1,9,7,4,0
B,1,9,7,5,0
B,1,9,7,6,0
B,1,9,7,7,0
B,1,9,7,8,0
B,1,9,7,9,0
B,1,9,7,10,0
B,1,9,8,1,0
B,1,9,8,2,46
B,1,9,8,3,0
B,1,9,8,4,0
B,1,9,8,5,0
B,1,9,8,6,0
B,1,9,8,7,12
B,1,9,8,8,0
B,1,9,8,9,0
B,1,9,8,10,2
B,1,9,9,1,0
B,1,9,9,2,0
B,1,9,9,3,0
B,1,9,9,4,0
B,1,9,9,5,0
B,1,9,9,6,19
B,1,9,9,7,21
B,1,9,9,8,2
B,1,9,9,9,16
B,1,9,9,10,2
B,1,9,10,1,17
B,1,9,10,2,0
B,1,9,10,3,0
B,1,9,10,4,0
B,1,9,10,5,0
B,1,9,10,6,36
B,1,9,10,7,0
B,1,9,10,8,5
B,1,9,10,9,0
B,1,9,10,10,2
B,1,9,11,1,60
B,1,9,11,2,0
B,1,9,11,3,0
B,1,9,11,4,0
B,1,9,11,5,0
B,1,9,11,6,0
B,1,9,11,7,0
B,1,9,11,8,0
B,1,9,11,9,0
B,1,9,11,10,0
B,1,9,12,1,60
B,1,9,12,2,0
B,1,9,12,3,0
B,1,9,12,4,0
B,1,9,12,5,0
B,1,9,12,6,0
B,1,9,12,7,0
B,1,9,12,8,0
B,1,9,12,9,0
B,1,9,12,10,0
B,1,9,13,1,60
B,1,9,13,2,0
B,1,9,13,3,0
B,1,9,13,4,0
B,1,9,13,5,0
B,1,9,13,6,0
B,1,9,13,7,0
B,1,9,13,8,0
B,1,9,13,9,0
B,1,9,13,10,0
B,1,9,14,1,60
B,1,9,14,2,0
B,1,9,14,3,0
B,1,9,14,4,0
B,1,9,14,5,0
B,1,9,14,6,0
B,1,9,14,7,0
B,1,9,14,8,0
B,1,9,14,9,0
B,1,9,14,10,0
B,1,9,15,1,60
B,1,9,15,2,0
B,1,9,15,3,0
B,1,9,15,4,0
B,1,9,15,5,0
B,1,9,15,6,0
B,1,9,15,7,0
B,1,9,15,8,0
B,1,9,15,9,0
B,1,9,15,10,0
B,1,9,16,1,60
B,1,9,16,2,0
B,1,9,16,3,0
B,1,9,16,4,0
B,1,9,16,5,0
B,1,9,16,6,0
B,1,9,16,7,0
B,1,9,16,8,0
B,1,9,16,9,0
B,1,9,16,10,0
B,1,9,17,1,60
B,1,9,17,2,0
B,1,9,17,3,0
B,1,9,17,4,0
B,1,9,17,5,0
B,1,9,17,6,0
B,1,9,17,7,0
B,1,9,17,8,0
B,1,9,17,9,0
B,1,9,17,10,0
B,1,9,18,1,60
B,1,9,18,2,0
B,1,9,18,3,0
B,1,9,18,4,0
B,1,9,18,5,0
B,1,9,18,6,0
B,1,9,18,7,0
B,1,9,18,8,0
B,1,9,18,9,0
B,1,9,18,10,0
B,1,9,19,1,60
B,1,9,19,2,0
B,1,9,19,3,0
B,1,9,19,4,0
B,1,9,19,5,0
B,1,9,19,6,0
B,1,9,19,7,0
B,1,9,19,8,0
B,1,9,19,9,0
B,1,9,19,10,0
B,1,9,20,1,60
B,1,9,20,2,0
B,1,9,20,3,0
B,1,9,20,4,0
B,1,9,20,5,0
B,1,9,20,6,0
B,1,9,20,7,0
B,1,9,20,8,0
B,1,9,20,9,0
B,1,9,20,10,0
B,1,9,21,1,60
B,1,9,21,2,0
B,1,9,21,3,0
B,1,9,21,4,0
B,1,9,21,5,0
B,1,9,21,6,0
B,1,9,21,7,0
B,1,9,21,8,0
B,1,9,21,9,0
B,1,9,21,10,0
B,1,9,22,1,40
B,1,9,22,2,0
B,1,9,22,3,0
B,1,9,22,4,0
B,1,9,22,5,0
B,1,9,22,6,1
B,1,9,22,7,0
B,1,9,22,8,2
B,1,9,22,9,17
B,1,9,22,10,0
B,1,9,23,1,0
B,1,9,23,2,0
B,1,9,23,3,0
B,1,9,23,4,5
B,1,9,23,5,0
B,1,9,23,6,0
B,1,9,23,7,0
B,1,9,23,8,0
B,1,9,23,9,54
B,1,9,23,10,0
B,2,9,0,1,0
B,2,9,0,2,33
B,2,9,0,3,0
B,2,9,0,4,26
B,2,9,0,5,0
B,2,9,0,6,0
B,2,9,0,7,0
B,2,9,0,8,0
B,2,9,0,9,0
B,2,9,0,10,1
B,2,9,1,1,0
B,2,9,1,2,60
B,2,9,1,3,0
B,2,9,1,4,0
B,2,9,1,5,0
B,2,9,1,6,0
B,2,9,1,7,0
B,2,9,1,8,0
B,2,9,1,9,0
B,2,9,1,10,0
B,2,9,2,1,0
B,2,9,2,2,60
B,2,9,2,3,0
B,2,9,2,4,0
B,2,9,2,5,0
B,2,9,2,6,0
B,2,9,2,7,0
B,2,9,2,8,0
B,2,9,2,9,0
B,2,9,2,10,0
B,2,9,3,1,0
B,2,9,3,2,60
B,2,9,3,3,0
B,2,9,3,4,0
B,2,9,3,5,0
B,2,9,3,6,0
B,2,9,3,7,0
B,2,9,3,8,0
B,2,9,3,9,0
B,2,9,3,10,0
B,2,9,4,1,0
B,2,9,4,2,57
B,2,9,4,3,0
B,2,9,4,4,0
B,2,9,4,5,0
B,2,9,4,6,0
B,2,9,4,7,0
B,2,9,4,8,0
B,2,9,4,9,0
B,2,9,4,10,3
B,2,9,5,1,0
B,2,9,5,2,60
B,2,9,5,3,0
B,2,9,5,4,0
B,2,9,5,5,0
B,2,9,5,6,0
B,2,9,5,7,0
B,2,9,5,8,0
B,2,9,5,9,0
B,2,9,5,10,0
B,2,9,6,1,0
B,2,9,6,2,60
B,2,9,6,3,0
B,2,9,6,4,0
B,2,9,6,5,0
B,2,9,6,6,0
B,2,9,6,7,0
B,2,9,6,8,0
B,2,9,6,9,0
B,2,9,6,10,0
B,2,9,7,1,0
B,2,9,7,2,60
B,2,9,7,3,0
B,2,9,7,4,0
B,2,9,7,5,0
B,2,9,7,6,0
B,2,9,7,7,0
B,2,9,7,8,0
B,2,9,7,9,0
B,2,9,7,10,0
B,2,9,8,1,0
B,2,9,8,2,60
B,2,9,8,3,0
B,2,9,8,4,0
B,2,9,8,5,0
B,2,9,8,6,0
B,2,9,8,7,0
B,2,9,8,8,0
B,2,9,8,9,0
B,2,9,8,10,0
B,2,9,9,1,0
B,2,9,9,2,6
B,2,9,9,3,0
B,2,9,9,4,0
B,2,9,9,5,9
B,2,9,9,6,21
B,2,9,9,7,8
B,2,9,9,8,0
B,2,9,9,9,16
B,2,9,9,10,0
B,2,9,10,1,17
B,2,9,10,2,0
B,2,9,10,3,0
B,2,9,10,4,0
B,2,9,10,5,0
B,2,9,10,6,20
B,2,9,10,7,0
B,2,9,10,8,4
B,2,9,10,9,0
B,2,9,10,10,19
B,2,9,11,1,60
B,2,9,11,2,0
B,2,9,11,3,0
B,2,9,11,4,0
B,2,9,11,5,0
B,2,9,11,6,0
B,2,9,11,7,0
B,2,9,11,8,0
B,2,9,11,9,0
B,2,9,11,10,0
B,2,9,12,1,60
B,2,9,12,2,0
B,2,9,12,3,0
B,2,9,12,4,0
B,2,9,12,5,0
B,2,9,12,6,0
B,2,9,12,7,0
B,2,9,12,8,0
B,2,9,12,9,0
B,2,9,12,10,0
B,2,9,13,1,60
B,2,9,13,2,0
B,2,9,13,3,0
B,2,9,13,4,0
B,2,9,13,5,0
B,2,9,13,6,0
B,2,9,13,7,0
B,2,9,13,8,0
B,2,9,13,9,0
B,2,9,13,10,0
